2020-12-19 23:59:57,b'Johnny I got you on the Uber Eats. It never has to be this. https://t.co/qSlq8x8oJS'
2020-12-19 23:59:57,"b""Notre Dame is the Bernie Sanders of ACC football. They're playing for the League Championship, but are they REALLY\xe2\x80\xa6 https://t.co/j5hz62rSQu"""
2020-12-19 23:59:43,b'RT @rising_serpent: @AlexBerenson @Liz_Wheeler @nytimes This kind of Uber expedited approval pathway is every drug developers wet dream.\nIt\xe2\x80\xa6'
2020-12-19 23:59:37,b'@lilacruins look it up on uber eats'
2020-12-19 23:59:19,b'RT @angelitamandaa: I miss walking from the club to the Uber like this at 3am  https://t.co/vPwCR6tQns'
2020-12-19 23:59:19,b'Uber eats drivers getting slammed today lol'
2020-12-19 23:59:10,b'@bigblackjacobin was in a deposition with Uber\xe2\x80\x99s hired lawyer the other day and they repeatedly objected to my clie\xe2\x80\xa6 https://t.co/R8c7qv9D26'
2020-12-19 23:59:06,"b'i am not an Uber. no, you can\xe2\x80\x99t ride. you ain\xe2\x80\x99t wanna ride before don\xe2\x80\x99t try to now.'"
2020-12-19 23:59:03,"b""RT @ianjpoole: @BrookChaos Don't doubt you for a second, this makes you more than a legend, an uber-legend!"""
2020-12-19 23:58:59,b'@ValoInfinity @duncantrussell \xe2\x80\x9cthank you for not riding with Uber.\xe2\x80\x9d \n\nmakes uncomfortable eye contact with the uber\xe2\x80\xa6 https://t.co/yRrgQCJKLa'
2020-12-19 23:58:58,b'@UberEats @Uber @Uber_Support APART ON THE SAME DATE. INSTEAD OF ADMITTING THAT THESE ARE OBVIOUSLY DUPLICATE CHARG\xe2\x80\xa6 https://t.co/NtI7QCT6Sq'
2020-12-19 23:58:57,b'@jevtweets @GauravHmusic Loooool get this man an Uber'
2020-12-19 23:58:49,b'@jtLOL I assume this is about that Uber Eats commmercial.'
2020-12-19 23:58:35,b'Getting food for MYSELF why have I become Uber eats for the house.'
2020-12-19 23:58:34,"b""@BrookChaos Don't doubt you for a second, this makes you more than a legend, an uber-legend!"""
2020-12-19 23:58:21,"b""I'd like to announce that I too am opening my own restaurants only available through Uber Eats with food made by a\xe2\x80\xa6 https://t.co/zGN7sPo3Vh"""
2020-12-19 23:58:09,b'I\xe2\x80\x99m trying Hawkers Asian Street Fare for dinner tonight with my Uber Eats Coupon! I\xe2\x80\x99ve heard great things from othe\xe2\x80\xa6 https://t.co/clXJZH5Pvo'
2020-12-19 23:57:50,b'RT @ScarletAvengers: FREE Uber rides to &amp; from the polls for Georgia runoff starting Dec 14 &amp;all the way till Election Day Jan 5 are provid\xe2\x80\xa6'
2020-12-19 23:57:41,b'@H34SSAN what u order from uber eats fella'
2020-12-19 23:57:40,b'I would never order anything through Uber Eats or Door Dash. I just don\xe2\x80\x99t like the idea of strangers bringing me my food. \xf0\x9f\x9a\x99\xf0\x9f\x8d\x94\xf0\x9f\x8d\x97\xf0\x9f\x8d\x9f\xf0\x9f\x8d\x95'
2020-12-19 23:57:37,b'RT @soulphoodie: \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1Turns Out Pretty Much Anyone Can Claim to Be a Black-Owned Business on Uber Eats https://t.co/VB9ypmVWnW via @gizmodo ht\xe2\x80\xa6'
2020-12-19 23:57:34,b'I ain\xe2\x80\x99t do shit all day. The rain drained me. Just put in my Uber eats order and about to roll another blunt!'
2020-12-19 23:57:33,"b'@Makguyver7773 I do. As I am an Uber/Doordash(etc) driver, I consider myself somewhat a professional'"
2020-12-19 23:57:31,"b'THE UBER DRIVER RUINED THE END FOR ME. I\xe2\x80\x99m sorry but she was fine at the beginning but at the end, that was just NO\xe2\x80\xa6 https://t.co/AXgT3KI0ss'"
2020-12-19 23:57:18,"b'@ShannonSophia5 JFC... a 94% #TROLLBOT rating is just pure, toxic disinformation level. Your folks must be UBER-pro\xe2\x80\xa6 https://t.co/6KBeKFlgvK'"
2020-12-19 23:57:14,b'RT @soulphoodie: \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1Turns Out Pretty Much Anyone Can Claim to Be a Black-Owned Business on Uber Eats https://t.co/VB9ypmVWnW via @gizmodo ht\xe2\x80\xa6'
2020-12-19 23:56:54,b'@UberEats @Uber @Uber_Support UBER EATS HAS NOW CHARGED ME $40.08 A TOTAL OF 4 TIMES FOR ONE ORDER. I HAVE BEEN TRY\xe2\x80\xa6 https://t.co/vGNHkAZcwI'
2020-12-19 23:56:47,b'@NinerBrave @SF_Gamerbabe11 And just an experience but imagine how hilarious it was to pick up Uber eats order for\xe2\x80\xa6 https://t.co/0UMMuNKbVX'
2020-12-19 23:56:46,b'RT @adamconover: Uber and DoorDash spent $200 million blanketing California with ads that claimed that unless Prop 22 exempted them from pr\xe2\x80\xa6'
2020-12-19 23:56:42,"b""I don't support 3rd party delivery apps (eg Uber Eats/ Skip the Dishes) because they screw over the restaurants and\xe2\x80\xa6 https://t.co/fgjNCQIoJc"""
2020-12-19 23:56:27,b'The broken business model of Uber and Lyft is taking a heavy toll on society https://t.co/Y5xgO2DUoe https://t.co/xgCTPMSZA7'
2020-12-19 23:56:26,"b'RT @veenadubal: This is so, so disappointing.  The CPUC is wrong that Uber needs oversight b/c thousands of people have been assaulted on t\xe2\x80\xa6'"
2020-12-19 23:56:15,"b'@ahnaojoaopaulo American Day no Uber Eats, fica na Savassi'"
2020-12-19 23:56:13,b'If he sends you a Uber break up with him!!'
2020-12-19 23:56:10,"b""@UltraaaMel completed trip on UberNam, an extra R6 bonus will be added to driver-partner's account. Moreover, pleas\xe2\x80\xa6 https://t.co/1NsuKdUyr5"""
2020-12-19 23:55:58,b'RT @aizhawas: Please RT\n\nI just need to get below 1k in order to schedule classes for next year and with my job paying 9.50 and my rent 560\xe2\x80\xa6'
2020-12-19 23:55:58,b'@AlexBerenson @Liz_Wheeler @nytimes This kind of Uber expedited approval pathway is every drug developers wet dream\xe2\x80\xa6 https://t.co/MntDsYnkbM'
2020-12-19 23:55:49,"b""Uber Eats with the drop off. Glad its not too far from my house. \xf0\x9f\x8d\x95\xf0\x9f\xa5\xa4 (@ Rosati's Pizza - @slooprosatis in Chicago, I\xe2\x80\xa6 https://t.co/bw6E1nW8m9"""
2020-12-19 23:55:45,b'@DreamNekoTV I haven\xe2\x80\x99t been to the doc in years cuz of this lol. In the USA we Uber to the hospital instead of an ambulance \xf0\x9f\x92\x9c'
2020-12-19 23:55:38,"b'@UltraaaMel Hi there, thanks for taking the time to share this feedback. We understand that times are challenging a\xe2\x80\xa6 https://t.co/bQtjq45PDt'"
2020-12-19 23:55:25,"b""@realDonaldTrump So glad when you're gone.  Flight!  Helicopter! Bus! Train! Piggy Back! Horse!  Uber! VibeRides! On foot!  Bye!!!!"""
2020-12-19 23:55:21,b'Anyone wanna Venmo me for an Uber ride? My poor disabled ass is unprepared to cough out money at the end of December @HeatherKerstetter'
